State,Total Hours of Sun,Clear Days In A Year,Solar Used Total (Btu),Population (2012),Solar Used Per Capita (Btu),Usable Solar Energy (solar radiance)
Alaska,2061,61,,731449,0,
Minnesota,2711,95,,5379139,0,
Mississippi,2720,111,,2984926,0,
North Dakota,2738,93,,699628,0,
South Dakota,2947,104,,833354,0,
Wyoming,3073,114,,576412,0,
Alabama,2641,99,100000000000,4822023,20738,
South Carolina,2826,115,100000000000,4723723,21170,
Kentucky,2514,93,100000000000,4380415,22829,
Oklahoma,3089,139,100000000000,3814820,26214,
Iowa,2691,105,100000000000,3074186,32529,
Arkansas,2771,123,100000000000,2949131,33908,
Kansas,2922,128,100000000000,2885905,34651,
Indiana,2440,88,300000000000,6537334,45890,
Tennessee,2510,102,300000000000,6456243,46467,
Nebraska,2762,117,100000000000,1855525,53893,
West Virginia,,60,100000000000,1855413,53896,
Idaho,2993,120,100000000000,1595728,62667,
Missouri,2690,115,400000000000,6021988,66423,
Georgia,2986,112,800000000000,9919945,80646,
Washington,2170,58,600000000000,6897012,86994,
Rhode Island,2606,98,100000000000,1050292,95212,
Montana,2698,82,100000000000,1005141,99489,
Utah,3029,125,300000000000,2855287,105068,
Texas,2850,135,3100000000000,26059203,118960,
Michigan,2392,71,1200000000000,9883360,121416,
Virginia,2829,100,1000000000000,8185867,122162,
Louisiana,2649,101,600000000000,4601893,130381,
Wisconsin,2428,89,800000000000,5726398,139704,
New Hampshire,2519,90,200000000000,1320718,151433,
Ohio,2183,72,1900000000000,11544225,164584,
Illinois,2567,95,2600000000000,12875255,201938,
Maine,2513,101,300000000000,1329192,225701,
New York,2120,63,5200000000000,19570261,265709,
North Carolina,2651,109,3000000000000,9752073,307627,
Maryland,2582,105,2000000000000,5884563,339872,
Pennsylvania,2614,87,4400000000000,12763536,344732,
Connecticut,2585,82,2200000000000,3590347,612754,
Massachusetts,2634,98,4300000000000,6646144,646992,
Delaware,,97,600000000000,917092,654242,
Oregon,2341,68,3000000000000,3899353,769358,
Vermont,2295,58,500000000000,626011,798708,
Colorado,3204,136,5100000000000,5187582,983117,
New Mexico,3415,167,4100000000000,2085538,1965920,
California,3055,146,75600000000000,38041430,1987307,
New Jersey,2499,94,19900000000000,8864590,2244887,
Florida,2927,101,45600000000000,19317568,2360546,
Nevada,3646,158,7800000000000,2758931,2827182,
Arizona,3806,193,21400000000000,6553255,3265553,
Hawaii,,90,6800000000000,1392313,4883959,
